Ticket_ID,Subject,Description,Category,Priority,Timestamp
21,Update profile information,I need to update my profile information but the save button is not working. Thank you for your assistance.,Account Management,Low,2025-12-15 13:08:54
22,Password reset request,I forgot my password and need to reset it. The reset link in email is not working. This is affecting my work.,Account Management,High,2025-11-28 16:08:54
23,Feature broken after update,The export feature stopped working after the recent update. It was working fine before.,Bug Report,Critical,2025-10-15 02:08:54
24,Account access issue,I can't access my account. It says my account is locked. I haven't done anything wrong.,Account Management,High,2025-11-09 12:08:54
25,Bulk actions request,It would be helpful to have bulk selection and actions for managing multiple items at once.,Feature Request,Critical,2025-11-25 13:08:54
26,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers.,Bug Report,High,2025-10-13 18:08:54
27,Invoice download issue,I'm unable to download my invoice. The download link doesn't work. This is affecting my work.,Billing Inquiry,High,2025-10-12 06:08:54
28,Application crashes when opening reports,"Every time I try to open the monthly report, the application crashes. This started happening after the last update. This is affecting my work.",Bug Report,High,2025-11-01 22:08:54
29,Account access issue,I can't access my account. It says my account is locked. I haven't done anything wrong.,Account Management,Critical,2025-12-02 04:08:54
30,API integration problem,The API integration is not working properly. Getting 500 errors when making requests.,Technical Issue,High,2025-09-30 19:08:54
31,Payment method update,I need to update my payment method. My credit card expired and I want to use a new one.,Billing Inquiry,Medium,2025-12-09 01:08:54
32,Feature broken after update,The export feature stopped working after the recent update. It was working fine before.,Bug Report,High,2025-10-25 08:08:54
33,Database connection timeout,Experiencing frequent database connection timeouts. This is affecting our operations.,Technical Issue,Critical,2025-10-08 12:08:54
34,Error message appearing repeatedly,I keep getting an error message 'Connection timeout' even though my internet is working fine. This is affecting my work.,Bug Report,Medium,2025-11-22 13:08:54
35,Performance degradation,The system has become very slow recently. Response times have increased significantly. This is urgent.,Technical Issue,High,2025-11-30 21:08:54
36,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers.,Bug Report,Medium,2025-10-27 15:08:54
37,Performance degradation,The system has become very slow recently. Response times have increased significantly.,Technical Issue,Critical,2025-10-31 21:08:54
38,Invoice download issue,I'm unable to download my invoice. The download link doesn't work.,Billing Inquiry,High,2025-10-23 23:08:54
39,Bulk actions request,It would be helpful to have bulk selection and actions for managing multiple items at once. Thank you for your assistance.,Feature Request,Critical,2025-10-07 20:08:54
40,Request for mobile app,It would be great to have a mobile app version. Many users work on the go.,Feature Request,Medium,2025-10-13 13:08:54
41,Database connection timeout,Experiencing frequent database connection timeouts. This is affecting our operations. This is urgent.,Technical Issue,Critical,2025-10-17 02:08:54
42,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain?,Billing Inquiry,Low,2025-10-22 07:08:54
43,Database connection timeout,Experiencing frequent database connection timeouts. This is affecting our operations.,Technical Issue,Critical,2025-10-02 16:08:54
44,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it?,Billing Inquiry,Low,2025-12-15 08:08:54
45,Bulk actions request,It would be helpful to have bulk selection and actions for managing multiple items at once.,Feature Request,Low,2025-12-02 21:08:54
46,Database connection timeout,Experiencing frequent database connection timeouts. This is affecting our operations.,Technical Issue,Critical,2025-10-13 00:08:54
47,Performance degradation,The system has become very slow recently. Response times have increased significantly.,Technical Issue,High,2025-12-07 00:08:54
48,Bulk actions request,It would be helpful to have bulk selection and actions for managing multiple items at once. This is affecting my work.,Feature Request,Critical,2025-11-04 10:08:54
49,Update profile information,I need to update my profile information but the save button is not working. This is affecting my work.,Account Management,Low,2025-12-05 21:08:54
50,Permission access problem,I should have admin access but I'm only seeing user-level permissions. Please fix this.,Account Management,Critical,2025-11-18 01:08:54
51,SSL certificate issue,There's an SSL certificate error when accessing the secure portal. Certificate seems expired.,Technical Issue,Critical,2025-11-22 12:08:54
52,SSL certificate issue,There's an SSL certificate error when accessing the secure portal. Certificate seems expired.,Technical Issue,High,2025-11-28 14:08:54
53,Error message appearing repeatedly,I keep getting an error message 'Connection timeout' even though my internet is working fine.,Bug Report,Medium,2025-10-15 03:08:54
54,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it?,Billing Inquiry,Low,2025-12-18 16:08:54
55,Data not saving correctly,"When I fill out the form and click save, the data disappears. This is very frustrating.",Bug Report,Critical,2025-12-10 15:08:54
56,Cannot connect to server,I'm unable to connect to the server. Getting connection refused errors. Firewall settings are correct. Please help as soon as possible.,Technical Issue,Critical,2025-09-26 05:08:54
57,Data not saving correctly,"When I fill out the form and click save, the data disappears. This is very frustrating.",Bug Report,High,2025-11-11 20:08:54
58,Update profile information,I need to update my profile information but the save button is not working. Please help as soon as possible.,Account Management,Low,2025-09-28 07:08:54
59,Add dark mode option,Please add a dark mode theme option. It would be easier on the eyes during night work.,Feature Request,Medium,2025-10-15 06:08:54
60,Payment method update,I need to update my payment method. My credit card expired and I want to use a new one. This is urgent.,Billing Inquiry,Medium,2025-11-28 10:08:54
61,Invoice download issue,I'm unable to download my invoice. The download link doesn't work.,Billing Inquiry,Low,2025-10-02 01:08:54
62,Error message appearing repeatedly,I keep getting an error message 'Connection timeout' even though my internet is working fine. I've tried troubleshooting but nothing works.,Bug Report,Critical,2025-10-08 14:08:54
63,Request for mobile app,It would be great to have a mobile app version. Many users work on the go. Please help as soon as possible.,Feature Request,Low,2025-12-05 08:08:54
64,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers.,Bug Report,Medium,2025-09-29 23:08:54
65,Password reset request,I forgot my password and need to reset it. The reset link in email is not working.,Account Management,Low,2025-12-11 10:08:54
66,API integration problem,The API integration is not working properly. Getting 500 errors when making requests.,Technical Issue,High,2025-12-05 03:08:54
67,Database connection timeout,Experiencing frequent database connection timeouts. This is affecting our operations. This is affecting my work.,Technical Issue,Medium,2025-12-11 18:08:54
68,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain? This is affecting my work.,Billing Inquiry,Low,2025-12-22 18:08:54
69,SSL certificate issue,There's an SSL certificate error when accessing the secure portal. Certificate seems expired. Please help as soon as possible.,Technical Issue,Medium,2025-10-30 02:08:54
70,Permission access problem,I should have admin access but I'm only seeing user-level permissions. Please fix this.,Account Management,Low,2025-11-10 03:08:54
71,Add dark mode option,Please add a dark mode theme option. It would be easier on the eyes during night work. Please help as soon as possible.,Feature Request,Low,2025-11-21 22:08:54
72,Add dark mode option,Please add a dark mode theme option. It would be easier on the eyes during night work. This is urgent.,Feature Request,High,2025-11-06 03:08:54
73,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers.,Bug Report,Critical,2025-10-30 04:08:54
74,Application crashes when opening reports,"Every time I try to open the monthly report, the application crashes. This started happening after the last update. I've tried troubleshooting but nothing works.",Bug Report,High,2025-12-19 17:08:54
75,Billing cycle question,When does my billing cycle reset? I want to know when the next charge will occur.,Billing Inquiry,Low,2025-11-29 17:08:54
76,Permission access problem,I should have admin access but I'm only seeing user-level permissions. Please fix this.,Account Management,Medium,2025-10-07 04:08:54
77,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it? Thank you for your assistance.,Billing Inquiry,High,2025-11-10 01:08:54
78,Cannot connect to server,I'm unable to connect to the server. Getting connection refused errors. Firewall settings are correct.,Technical Issue,High,2025-10-03 18:08:54
79,Feature broken after update,The export feature stopped working after the recent update. It was working fine before.,Bug Report,High,2025-12-02 07:08:54
80,Add dark mode option,Please add a dark mode theme option. It would be easier on the eyes during night work.,Feature Request,High,2025-11-21 11:08:54
81,Feature broken after update,The export feature stopped working after the recent update. It was working fine before.,Bug Report,High,2025-11-15 10:08:54
82,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it? This is affecting my work.,Billing Inquiry,Medium,2025-10-09 19:08:54
83,Account access issue,I can't access my account. It says my account is locked. I haven't done anything wrong. Thank you for your assistance.,Account Management,High,2025-09-26 01:08:54
84,Request for mobile app,It would be great to have a mobile app version. Many users work on the go.,Feature Request,Critical,2025-11-22 13:08:54
85,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it? Thank you for your assistance.,Billing Inquiry,Critical,2025-10-10 16:08:54
86,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it?,Billing Inquiry,Medium,2025-10-17 09:08:54
87,Bulk actions request,It would be helpful to have bulk selection and actions for managing multiple items at once.,Feature Request,High,2025-10-27 20:08:54
88,Customizable dashboard,Please allow users to customize their dashboard layout and widgets. Thank you for your assistance.,Feature Request,High,2025-11-16 12:08:54
89,Performance degradation,The system has become very slow recently. Response times have increased significantly.,Technical Issue,Critical,2025-10-11 10:08:54
90,Database connection timeout,Experiencing frequent database connection timeouts. This is affecting our operations.,Technical Issue,High,2025-12-20 19:08:54
91,API integration problem,The API integration is not working properly. Getting 500 errors when making requests.,Technical Issue,High,2025-11-27 16:08:54
92,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it?,Billing Inquiry,Low,2025-10-09 14:08:54
93,SSL certificate issue,There's an SSL certificate error when accessing the secure portal. Certificate seems expired.,Technical Issue,High,2025-12-11 21:08:54
94,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it? Please help as soon as possible.,Billing Inquiry,Low,2025-12-08 01:08:54
95,Account deletion request,I want to delete my account permanently. Please guide me through the process.,Account Management,Medium,2025-10-25 13:08:54
96,Permission access problem,I should have admin access but I'm only seeing user-level permissions. Please fix this.,Account Management,Low,2025-11-28 19:08:54
97,Permission access problem,I should have admin access but I'm only seeing user-level permissions. Please fix this.,Account Management,High,2025-12-03 05:08:54
98,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it?,Billing Inquiry,Medium,2025-12-06 20:08:54
99,Customizable dashboard,Please allow users to customize their dashboard layout and widgets.,Feature Request,Medium,2025-12-17 05:08:54
100,Data not saving correctly,"When I fill out the form and click save, the data disappears. This is very frustrating. Please help as soon as possible.",Bug Report,High,2025-12-01 00:08:54
101,Account access issue,I can't access my account. It says my account is locked. I haven't done anything wrong. Please help as soon as possible.,Account Management,Low,2025-10-20 01:08:54
102,Invoice download issue,I'm unable to download my invoice. The download link doesn't work.,Billing Inquiry,High,2025-11-19 02:08:54
103,Application crashes when opening reports,"Every time I try to open the monthly report, the application crashes. This started happening after the last update.",Bug Report,Critical,2025-11-17 15:08:54
104,Performance degradation,The system has become very slow recently. Response times have increased significantly. This is urgent.,Technical Issue,Critical,2025-12-16 23:08:54
105,Billing cycle question,When does my billing cycle reset? I want to know when the next charge will occur.,Billing Inquiry,High,2025-11-20 00:08:54
106,Account deletion request,I want to delete my account permanently. Please guide me through the process.,Account Management,Critical,2025-11-04 13:08:54
107,Request for mobile app,It would be great to have a mobile app version. Many users work on the go. I've tried troubleshooting but nothing works.,Feature Request,Critical,2025-11-05 12:08:54
108,Database connection timeout,Experiencing frequent database connection timeouts. This is affecting our operations.,Technical Issue,High,2025-10-12 02:08:54
109,Payment method update,I need to update my payment method. My credit card expired and I want to use a new one.,Billing Inquiry,Medium,2025-10-06 11:08:54
110,Invoice download issue,I'm unable to download my invoice. The download link doesn't work.,Billing Inquiry,Medium,2025-12-19 09:08:54
111,Database connection timeout,Experiencing frequent database connection timeouts. This is affecting our operations.,Technical Issue,High,2025-12-22 10:08:54
112,SSL certificate issue,There's an SSL certificate error when accessing the secure portal. Certificate seems expired. This is affecting my work.,Technical Issue,Critical,2025-12-19 14:08:54
113,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers.,Bug Report,Medium,2025-10-05 07:08:54
114,Add dark mode option,Please add a dark mode theme option. It would be easier on the eyes during night work.,Feature Request,High,2025-12-01 03:08:54
115,Request for mobile app,It would be great to have a mobile app version. Many users work on the go.,Feature Request,Medium,2025-11-10 19:08:54
116,SSL certificate issue,There's an SSL certificate error when accessing the secure portal. Certificate seems expired. Thank you for your assistance.,Technical Issue,Low,2025-11-09 08:08:54
117,Data not saving correctly,"When I fill out the form and click save, the data disappears. This is very frustrating. I've tried troubleshooting but nothing works.",Bug Report,Low,2025-10-09 09:08:54
118,SSL certificate issue,There's an SSL certificate error when accessing the secure portal. Certificate seems expired.,Technical Issue,Critical,2025-12-22 12:08:54
119,SSL certificate issue,There's an SSL certificate error when accessing the secure portal. Certificate seems expired. This is urgent.,Technical Issue,High,2025-12-15 21:08:54
120,Feature broken after update,The export feature stopped working after the recent update. It was working fine before.,Bug Report,High,2025-11-09 04:08:54
121,Request for mobile app,It would be great to have a mobile app version. Many users work on the go.,Feature Request,Medium,2025-10-23 01:08:54
122,Billing cycle question,When does my billing cycle reset? I want to know when the next charge will occur.,Billing Inquiry,Medium,2025-11-04 01:08:54
123,Data not saving correctly,"When I fill out the form and click save, the data disappears. This is very frustrating. This is affecting my work.",Bug Report,High,2025-11-26 11:08:54
124,Export to Excel feature,Could you add an option to export reports directly to Excel format? Currently only PDF is available.,Feature Request,Critical,2025-12-11 21:08:54
125,Update profile information,I need to update my profile information but the save button is not working. Please help as soon as possible.,Account Management,Critical,2025-10-02 10:08:54
126,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain?,Billing Inquiry,Critical,2025-11-19 00:08:54
127,Billing cycle question,When does my billing cycle reset? I want to know when the next charge will occur. This is affecting my work.,Billing Inquiry,High,2025-11-22 18:08:54
128,Feature broken after update,The export feature stopped working after the recent update. It was working fine before.,Bug Report,Critical,2025-12-05 18:08:54
129,Export to Excel feature,Could you add an option to export reports directly to Excel format? Currently only PDF is available.,Feature Request,High,2025-12-02 19:08:54
130,Account deletion request,I want to delete my account permanently. Please guide me through the process. Thank you for your assistance.,Account Management,Medium,2025-10-18 18:08:54
131,Payment method update,I need to update my payment method. My credit card expired and I want to use a new one. Thank you for your assistance.,Billing Inquiry,Medium,2025-12-04 06:08:54
132,Update profile information,I need to update my profile information but the save button is not working.,Account Management,High,2025-11-26 01:08:54
133,Add dark mode option,Please add a dark mode theme option. It would be easier on the eyes during night work.,Feature Request,Medium,2025-10-18 17:08:54
134,Add dark mode option,Please add a dark mode theme option. It would be easier on the eyes during night work.,Feature Request,Medium,2025-11-07 14:08:54
135,Database connection timeout,Experiencing frequent database connection timeouts. This is affecting our operations. This is affecting my work.,Technical Issue,Critical,2025-09-30 08:08:54
136,Cannot connect to server,I'm unable to connect to the server. Getting connection refused errors. Firewall settings are correct.,Technical Issue,Critical,2025-10-05 13:08:54
137,Cannot connect to server,I'm unable to connect to the server. Getting connection refused errors. Firewall settings are correct. Thank you for your assistance.,Technical Issue,Critical,2025-12-18 02:08:54
138,Error message appearing repeatedly,I keep getting an error message 'Connection timeout' even though my internet is working fine. I've tried troubleshooting but nothing works.,Bug Report,Medium,2025-11-06 11:08:54
139,Error message appearing repeatedly,I keep getting an error message 'Connection timeout' even though my internet is working fine.,Bug Report,High,2025-11-16 00:08:54
140,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers. Please help as soon as possible.,Bug Report,Critical,2025-10-22 18:08:54
141,Account access issue,I can't access my account. It says my account is locked. I haven't done anything wrong.,Account Management,Medium,2025-10-05 00:08:54
142,Invoice download issue,I'm unable to download my invoice. The download link doesn't work.,Billing Inquiry,Low,2025-10-23 17:08:54
143,Data not saving correctly,"When I fill out the form and click save, the data disappears. This is very frustrating.",Bug Report,Critical,2025-12-04 23:08:54
144,Payment method update,I need to update my payment method. My credit card expired and I want to use a new one.,Billing Inquiry,Low,2025-11-17 22:08:54
145,Password reset request,I forgot my password and need to reset it. The reset link in email is not working. Please help as soon as possible.,Account Management,High,2025-11-24 05:08:54
146,Performance degradation,The system has become very slow recently. Response times have increased significantly. I've tried troubleshooting but nothing works.,Technical Issue,Medium,2025-12-14 15:08:54
147,Account access issue,I can't access my account. It says my account is locked. I haven't done anything wrong.,Account Management,Low,2025-10-14 22:08:54
148,Customizable dashboard,Please allow users to customize their dashboard layout and widgets.,Feature Request,Medium,2025-11-03 21:08:54
149,Update profile information,I need to update my profile information but the save button is not working.,Account Management,Medium,2025-11-06 07:08:54
150,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain? Thank you for your assistance.,Billing Inquiry,Medium,2025-12-08 19:08:54
151,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain?,Billing Inquiry,High,2025-12-05 13:08:54
152,Permission access problem,I should have admin access but I'm only seeing user-level permissions. Please fix this. This is urgent.,Account Management,High,2025-10-19 15:08:54
153,Cannot connect to server,I'm unable to connect to the server. Getting connection refused errors. Firewall settings are correct.,Technical Issue,High,2025-12-22 12:08:54
154,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it? I've tried troubleshooting but nothing works.,Billing Inquiry,High,2025-10-02 09:08:54
155,Customizable dashboard,Please allow users to customize their dashboard layout and widgets.,Feature Request,Critical,2025-12-17 15:08:54
156,Performance degradation,The system has become very slow recently. Response times have increased significantly.,Technical Issue,Critical,2025-11-27 02:08:54
157,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain?,Billing Inquiry,Medium,2025-10-06 00:08:54
158,Account access issue,I can't access my account. It says my account is locked. I haven't done anything wrong.,Account Management,High,2025-10-21 10:08:54
159,Request for mobile app,It would be great to have a mobile app version. Many users work on the go. I've tried troubleshooting but nothing works.,Feature Request,High,2025-12-21 14:08:54
160,Feature broken after update,The export feature stopped working after the recent update. It was working fine before.,Bug Report,High,2025-11-11 02:08:54
161,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain?,Billing Inquiry,Medium,2025-10-02 07:08:54
162,Feature broken after update,The export feature stopped working after the recent update. It was working fine before. This is urgent.,Bug Report,High,2025-10-25 00:08:54
163,Invoice download issue,I'm unable to download my invoice. The download link doesn't work.,Billing Inquiry,Low,2025-09-25 13:08:54
164,Request for mobile app,It would be great to have a mobile app version. Many users work on the go. Thank you for your assistance.,Feature Request,High,2025-12-10 03:08:54
165,Error message appearing repeatedly,I keep getting an error message 'Connection timeout' even though my internet is working fine.,Bug Report,High,2025-10-25 13:08:54
166,Request for mobile app,It would be great to have a mobile app version. Many users work on the go.,Feature Request,Critical,2025-10-05 17:08:54
167,Add dark mode option,Please add a dark mode theme option. It would be easier on the eyes during night work.,Feature Request,Low,2025-10-05 15:08:54
168,Permission access problem,I should have admin access but I'm only seeing user-level permissions. Please fix this.,Account Management,Medium,2025-10-04 15:08:54
169,Payment method update,I need to update my payment method. My credit card expired and I want to use a new one. Please help as soon as possible.,Billing Inquiry,Medium,2025-11-06 22:08:54
170,Password reset request,I forgot my password and need to reset it. The reset link in email is not working. Thank you for your assistance.,Account Management,High,2025-11-23 23:08:54
171,Bulk actions request,It would be helpful to have bulk selection and actions for managing multiple items at once.,Feature Request,High,2025-10-05 14:08:54
172,Password reset request,I forgot my password and need to reset it. The reset link in email is not working.,Account Management,Critical,2025-12-04 23:08:54
173,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain?,Billing Inquiry,High,2025-11-07 01:08:54
174,Data not saving correctly,"When I fill out the form and click save, the data disappears. This is very frustrating.",Bug Report,Critical,2025-11-30 23:08:54
175,Invoice download issue,I'm unable to download my invoice. The download link doesn't work.,Billing Inquiry,Low,2025-09-26 22:08:54
176,Account access issue,I can't access my account. It says my account is locked. I haven't done anything wrong.,Account Management,Low,2025-11-15 08:08:54
177,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain? This is affecting my work.,Billing Inquiry,High,2025-12-20 03:08:54
178,Request for mobile app,It would be great to have a mobile app version. Many users work on the go. This is urgent.,Feature Request,High,2025-11-01 00:08:54
179,Export to Excel feature,Could you add an option to export reports directly to Excel format? Currently only PDF is available. Please help as soon as possible.,Feature Request,High,2025-12-18 17:08:54
180,Account access issue,I can't access my account. It says my account is locked. I haven't done anything wrong.,Account Management,Critical,2025-12-05 04:08:54
181,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain?,Billing Inquiry,High,2025-10-28 12:08:54
182,SSL certificate issue,There's an SSL certificate error when accessing the secure portal. Certificate seems expired.,Technical Issue,Low,2025-12-15 11:08:54
183,Bulk actions request,It would be helpful to have bulk selection and actions for managing multiple items at once.,Feature Request,Critical,2025-11-17 17:08:54
184,Cannot connect to server,I'm unable to connect to the server. Getting connection refused errors. Firewall settings are correct. This is urgent.,Technical Issue,High,2025-10-02 06:08:54
185,Password reset request,I forgot my password and need to reset it. The reset link in email is not working.,Account Management,High,2025-12-05 12:08:54
186,Data not saving correctly,"When I fill out the form and click save, the data disappears. This is very frustrating. I've tried troubleshooting but nothing works.",Bug Report,Critical,2025-10-21 12:08:54
187,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers. Please help as soon as possible.,Bug Report,Critical,2025-11-12 09:08:54
188,Payment method update,I need to update my payment method. My credit card expired and I want to use a new one.,Billing Inquiry,Critical,2025-11-27 09:08:54
189,Add dark mode option,Please add a dark mode theme option. It would be easier on the eyes during night work.,Feature Request,Medium,2025-10-18 05:08:54
190,API integration problem,The API integration is not working properly. Getting 500 errors when making requests. Thank you for your assistance.,Technical Issue,High,2025-10-26 12:08:54
191,Error message appearing repeatedly,I keep getting an error message 'Connection timeout' even though my internet is working fine.,Bug Report,Critical,2025-10-19 22:08:54
192,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain?,Billing Inquiry,High,2025-12-12 10:08:54
193,Performance degradation,The system has become very slow recently. Response times have increased significantly.,Technical Issue,High,2025-12-07 20:08:54
194,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers.,Bug Report,Critical,2025-10-25 04:08:54
195,Permission access problem,I should have admin access but I'm only seeing user-level permissions. Please fix this.,Account Management,High,2025-12-08 07:08:54
196,Error message appearing repeatedly,I keep getting an error message 'Connection timeout' even though my internet is working fine.,Bug Report,Medium,2025-12-15 20:08:54
197,Feature broken after update,The export feature stopped working after the recent update. It was working fine before.,Bug Report,Medium,2025-12-09 23:08:54
198,Request for mobile app,It would be great to have a mobile app version. Many users work on the go. Please help as soon as possible.,Feature Request,High,2025-10-21 22:08:54
199,Request for mobile app,It would be great to have a mobile app version. Many users work on the go.,Feature Request,Low,2025-12-12 23:08:54
200,Account deletion request,I want to delete my account permanently. Please guide me through the process. This is affecting my work.,Account Management,High,2025-10-29 06:08:54
201,Account deletion request,I want to delete my account permanently. Please guide me through the process. This is urgent.,Account Management,High,2025-10-14 23:08:54
202,Export to Excel feature,Could you add an option to export reports directly to Excel format? Currently only PDF is available.,Feature Request,High,2025-12-03 12:08:54
203,Billing cycle question,When does my billing cycle reset? I want to know when the next charge will occur.,Billing Inquiry,Medium,2025-12-02 13:08:54
204,Error message appearing repeatedly,I keep getting an error message 'Connection timeout' even though my internet is working fine. Please help as soon as possible.,Bug Report,High,2025-09-25 02:08:54
205,Application crashes when opening reports,"Every time I try to open the monthly report, the application crashes. This started happening after the last update.",Bug Report,Medium,2025-11-29 21:08:54
206,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it?,Billing Inquiry,Medium,2025-11-20 16:08:54
207,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers.,Bug Report,High,2025-10-11 06:08:54
208,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers.,Bug Report,High,2025-12-13 16:08:54
209,Invoice download issue,I'm unable to download my invoice. The download link doesn't work.,Billing Inquiry,Medium,2025-11-21 00:08:54
210,Database connection timeout,Experiencing frequent database connection timeouts. This is affecting our operations.,Technical Issue,Critical,2025-10-20 08:08:54
211,Password reset request,I forgot my password and need to reset it. The reset link in email is not working.,Account Management,Low,2025-10-11 03:08:54
212,Application crashes when opening reports,"Every time I try to open the monthly report, the application crashes. This started happening after the last update.",Bug Report,High,2025-10-05 14:08:54
213,Account access issue,I can't access my account. It says my account is locked. I haven't done anything wrong. This is urgent.,Account Management,Low,2025-12-17 12:08:54
214,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain?,Billing Inquiry,Medium,2025-10-30 16:08:54
215,Account deletion request,I want to delete my account permanently. Please guide me through the process. Please help as soon as possible.,Account Management,High,2025-11-02 07:08:54
216,Billing cycle question,When does my billing cycle reset? I want to know when the next charge will occur.,Billing Inquiry,High,2025-10-31 10:08:54
217,Permission access problem,I should have admin access but I'm only seeing user-level permissions. Please fix this. Thank you for your assistance.,Account Management,Medium,2025-11-20 06:08:54
218,Performance degradation,The system has become very slow recently. Response times have increased significantly.,Technical Issue,High,2025-10-20 10:08:54
219,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers.,Bug Report,Low,2025-12-03 22:08:54
220,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers.,Bug Report,High,2025-11-17 01:08:54
221,Application crashes when opening reports,"Every time I try to open the monthly report, the application crashes. This started happening after the last update.",Bug Report,Medium,2025-11-25 17:08:54
222,Refund request,I canceled my subscription last month but haven't received a refund yet. When can I expect it?,Billing Inquiry,Low,2025-10-12 01:08:54
223,Export to Excel feature,Could you add an option to export reports directly to Excel format? Currently only PDF is available. I've tried troubleshooting but nothing works.,Feature Request,Low,2025-11-18 09:08:54
224,Billing cycle question,When does my billing cycle reset? I want to know when the next charge will occur. I've tried troubleshooting but nothing works.,Billing Inquiry,Low,2025-11-12 06:08:54
225,Question about invoice charges,I received an invoice but I don't understand some of the charges. Can someone explain?,Billing Inquiry,High,2025-12-01 05:08:54
226,Login button not responding,The login button on the homepage doesn't respond when clicked. I've tried multiple browsers. Please help as soon as possible.,Bug Report,Low,2025-11-01 19:08:54
